Merkki,Vuosi,Ajettu,Hinta,Date
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|20 000|23 890 €|06-2021",2019,20 000,23 890 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid ActiveEdt|2019|38 000|22 850 €|08-2021",2019,38 000,22 850 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|24 000|23 790 €|06-2021",2019,24 000,23 790 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|27 000|22 490 €|08-2021",2019,27 000,22 490 €,08-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition - Korko 1,99% + kulut|2019|24 000|20 890 €|07-2021",2019,24 000,20 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|26 000|23 380 €|06-2021",2019,26 000,23 380 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|33 000|22 990 €|06-2021",2019,33 000,22 990 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|28 000|23 490 €|06-2021",2019,28 000,23 490 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|25 000|23 380 €|06-2021",2019,25 000,23 380 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|29 000|22 990 €|07-2021",2019,29 000,22 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|28 000|22 790 €|09-2021",2019,28 000,22 790 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|35 000|21 900 €|05-2021",2019,35 000,21 900 €,05-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|20 000|22 490 €|08-2021",2019,20 000,22 490 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|44 000|22 450 €|08-2021",2019,44 000,22 450 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|31 000|21 490 €|08-2021",2019,31 000,21 490 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / ALV-VÄHENNYSKELPOINEN *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk|2019|104 000|18 790 €(incl. VAT)|07-2021",2019,104 000,18 790 €(incl. VAT),07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|26 000|21 890 €|08-2021",2019,26 000,21 890 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|30 000|22 490 €|08-2021",2019,30 000,22 490 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition - Uudenkarhea vaihtoehto|2019|40 500|20 990 €|07-2021",2019,40 500,20 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|57 000|21 850 €|07-2021",2019,57 000,21 850 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|31 000|22 850 €|07-2021",2019,31 000,22 850 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|30 000|22 850 €|07-2021",2019,30 000,22 850 €,07-2021
"Toyota Auris (1.8) Toyota AURIS Touring Sports 1,8 Hybrid Active Edition|2019|28 000|22 990 €|07-2021",2019,28 000,22 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *Navi / P-Kamera / Helmiäisväri / 1 omistaja*|2019|32 000|22 900 €|06-2021",2019,32 000,22 900 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|27 000|22 490 €|08-2021",2019,27 000,22 490 €,08-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition - Vähän ajettu,1omistaja|2019|33 000|21 990 €|07-2021",2019,33 000,21 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|30 000|21 890 €|08-2021",2019,30 000,21 890 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|17 000|22 480 €|07-2021",2019,17 000,22 480 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|25 000|22 490 €|08-2021",2019,25 000,22 490 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition **Navi** *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|28 000|22 490 €|07-2021",2019,28 000,22 490 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|21 000|23 480 €|06-2021",2019,21 000,23 480 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Black Edition *** Rahoituskorko 0,99%|2019|31 000|23 980 €|05-2021",2019,31 000,23 980 €,05-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 2.9% + kulut, ensimmäinen erä 3kk päästä|2019|26 000|22 890 €|07-2021",2019,26 000,22 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|25 000|21 990 €|07-2021",2019,25 000,21 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|37 000|22 650 €|08-2021",2019,37 000,22 650 €,08-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid ActiveEdtion|2019|23 000|23 850 €|06-2021",2019,23 000,23 850 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|37 000|22 980 €|08-2021",2019,37 000,22 980 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|44 000|22 980 €|08-2021",2019,44 000,22 980 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition #vetokoukku #1.om. #alv.väh.kelp. #tutkat|2019|38 000|22 990 €(incl. VAT)|05-2021",2019,38 000,22 990 €(incl. VAT),05-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|59 000|20 890 €|06-2021",2019,59 000,20 890 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|28 000|24 480 €|07-2021",2019,28 000,24 480 €,07-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition|2019|45 188|22 960 €|07-2021",2019,45 188,22 960 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|32 000|21 890 €|07-2021",2019,32 000,21 890 €,07-2021
"Toyota Auris (1.8) Toyota AURIS Touring Sports 1,8 Hybrid ActiveEdt(19.1|2019|40 000|21 990 €|07-2021",2019,40 000,21 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|26 000|23 900 €|06-2021",2019,26 000,23 900 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|23 000|22 890 €|07-2021",2019,23 000,22 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|25 000|21 890 €|07-2021",2019,25 000,21 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|48 000|22 850 €|06-2021",2019,48 000,22 850 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|30 000|22 790 €|07-2021",2019,30 000,22 790 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|27 000|22 900 €|06-2021",2019,27 000,22 900 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|20 000|23 890 €|06-2021",2019,20 000,23 890 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid ActiveEdt|2019|38 000|22 850 €|08-2021",2019,38 000,22 850 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|24 000|23 790 €|06-2021",2019,24 000,23 790 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|27 000|22 490 €|08-2021",2019,27 000,22 490 €,08-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition - Korko 1,99% + kulut|2019|24 000|20 890 €|07-2021",2019,24 000,20 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|26 000|23 380 €|06-2021",2019,26 000,23 380 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|33 000|22 990 €|06-2021",2019,33 000,22 990 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|28 000|23 490 €|06-2021",2019,28 000,23 490 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|25 000|23 380 €|06-2021",2019,25 000,23 380 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|29 000|22 990 €|07-2021",2019,29 000,22 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|28 000|22 790 €|09-2021",2019,28 000,22 790 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|35 000|21 900 €|05-2021",2019,35 000,21 900 €,05-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|20 000|22 490 €|08-2021",2019,20 000,22 490 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|44 000|22 450 €|08-2021",2019,44 000,22 450 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|31 000|21 490 €|08-2021",2019,31 000,21 490 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / ALV-VÄHENNYSKELPOINEN *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk|2019|104 000|18 790 €(incl. VAT)|07-2021",2019,104 000,18 790 €(incl. VAT),07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|26 000|21 890 €|08-2021",2019,26 000,21 890 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|30 000|22 490 €|08-2021",2019,30 000,22 490 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition - Uudenkarhea vaihtoehto|2019|40 500|20 990 €|07-2021",2019,40 500,20 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|57 000|21 850 €|07-2021",2019,57 000,21 850 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|31 000|22 850 €|07-2021",2019,31 000,22 850 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|30 000|22 850 €|07-2021",2019,30 000,22 850 €,07-2021
"Toyota Auris (1.8) Toyota AURIS Touring Sports 1,8 Hybrid Active Edition|2019|28 000|22 990 €|07-2021",2019,28 000,22 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *Navi / P-Kamera / Helmiäisväri / 1 omistaja*|2019|32 000|22 900 €|06-2021",2019,32 000,22 900 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|27 000|22 490 €|08-2021",2019,27 000,22 490 €,08-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition - Vähän ajettu,1omistaja|2019|33 000|21 990 €|07-2021",2019,33 000,21 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|30 000|21 890 €|08-2021",2019,30 000,21 890 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|17 000|22 480 €|07-2021",2019,17 000,22 480 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|25 000|22 490 €|08-2021",2019,25 000,22 490 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition **Navi** *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|28 000|22 490 €|07-2021",2019,28 000,22 490 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|21 000|23 480 €|06-2021",2019,21 000,23 480 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Black Edition *** Rahoituskorko 0,99%|2019|31 000|23 980 €|05-2021",2019,31 000,23 980 €,05-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 2.9% + kulut, ensimmäinen erä 3kk päästä|2019|26 000|22 890 €|07-2021",2019,26 000,22 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|25 000|21 990 €|07-2021",2019,25 000,21 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|37 000|22 650 €|08-2021",2019,37 000,22 650 €,08-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|23 000|22 480 €|08-2021",2019,23 000,22 480 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|20 000|22 980 €|08-2021",2019,20 000,22 980 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|36 000|22 790 €|06-2021",2019,36 000,22 790 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid ActiveEdt(19.1|2019|21 000|24 900 €|07-2021",2019,21 000,24 900 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|30 000|21 890 €|09-2021",2019,30 000,21 890 €,09-2021
"Toyota Auris (1.8) Toyota AURIS Touring Sports 1,8 Hybrid ActiveEdt(19.1|2019|26 000|23 500 €|05-2021",2019,26 000,23 500 €,05-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|37 000|22 890 €|08-2021",2019,37 000,22 890 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition **Navigointi**|2019|23 000|22 790 €|07-2021",2019,23 000,22 790 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition **Navi** *** Korkotarjous 1.9% + kulut|2019|23 570|22 980 €|05-2021",2019,23 570,22 980 €,05-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition ** Suomi-auto / P-Kamera / Kaistavahti / RSA / Navi **|2019|79 000|17 900 €|06-2021",2019,79 000,17 900 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition - Toyota Approved, Navi, P-Kamera, Cruise, AutoAc!|2019|22 726|23 490 €|06-2021",2019,22 726,23 490 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 2.9% + kulut, ensimmäinen erä 3kk päästä|2019|35 000|21 690 €|07-2021",2019,35 000,21 690 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|29 000|22 850 €|09-2021",2019,29 000,22 850 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|20 500|22 850 €|08-2021",2019,20 500,22 850 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** -|2019|73 000|21 900 €|06-2021",2019,73 000,21 900 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|19 000|22 850 €|09-2021",2019,19 000,22 850 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|31 000|22 850 €(incl. VAT)|09-2021",2019,31 000,22 850 €(incl. VAT),09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 2.9% + kulut, ensimmäinen erä 3kk päästä|2019|30 000|23 450 €|07-2021",2019,30 000,23 450 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|30 000|21 890 €|09-2021",2019,30 000,21 890 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|10 000|22 890 €|08-2021",2019,10 000,22 890 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|27 000|23 190 €|08-2021",2019,27 000,23 190 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition **Navi** *** Korkotarjous 2.9% + kulut, ensimmäinen erä 3kk päästä|2019|23 000|22 950 €|07-2021",2019,23 000,22 950 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|31 000|21 890 €|09-2021",2019,31 000,21 890 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|28 000|22 550 €|09-2021",2019,28 000,22 550 €,09-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition (MY18.3)|2019|29 000|21 500 €|08-2021",2019,29 000,21 500 €,08-2021
"Toyota Auris (1.8) Toyota AURIS Touring Sports 1,8 Hybrid ActiveEdt|2019|19 000|22 880 €|07-2021",2019,19 000,22 880 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|30 000|22 890 €|08-2021",2019,30 000,22 890 €,08-2021
"Toyota Auris (1.8) **Rahoitus 0,86%+kulut Huoltorahalla**|2019|25 000|22 800 €|07-2021",2019,25 000,22 800 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 2.9% + kulut, ensimmäinen erä 3kk päästä|2019|28 000|22 890 €|07-2021",2019,28 000,22 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|38 000|22 500 €|06-2021",2019,38 000,22 500 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|28 000|22 850 €|09-2021",2019,28 000,22 850 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|30 000|22 490 €|09-2021",2019,30 000,22 490 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|29 000|22 590 €|09-2021",2019,29 000,22 590 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|27 000|22 490 €|07-2021",2019,27 000,22 490 €,07-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition|2019|15 000|22 890 €|06-2021",2019,15 000,22 890 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|31 479|22 890 €|08-2021",2019,31 479,22 890 €,08-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition|2019|31 691|22 990 €|07-2021",2019,31 691,22 990 €,07-2021
"Toyota Auris (1.8) Toyota AURIS Touring Sports 1,8 Hybrid ActiveEdtion (19.1)|2019|55 000|20 900 €|07-2021",2019,55 000,20 900 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|26 000|22 850 €|09-2021",2019,26 000,22 850 €,09-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|30 000|22 890 €|08-2021",2019,30 000,22 890 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|41 000|22 450 €|06-2021",2019,41 000,22 450 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid ActiveEdtion|2019|23 000|23 850 €|08-2021",2019,23 000,23 850 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|21 000|22 850 €|08-2021",2019,21 000,22 850 €,08-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition  **Peruutuskamera- Navigointi- Vain 28 Tkm** **** Takuuhyvitys vähintään 1000e ****|2019|28 000|22 450 €|07-2021",2019,28 000,22 450 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / Navi|2019|29 000|22 450 €|08-2021",2019,29 000,22 450 €,08-2021
Toyota Auris (1.8)|2019|40 000|22 900 €|07-2021,2019,40 000,22 900 €,07-2021
"Toyota Auris (1.8) Toyota AURIS Touring Sports 1,8 Hybrid Active Edition|2019|40 000|21 990 €|08-2021",2019,40 000,21 990 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|31 000|22 590 €|09-2021",2019,31 000,22 590 €,09-2021
